id,mass,height,waist,foot,sittingHeight,upperLegLength,kneeHeight,forearmLength,age,gender,handedness,birthOrder
13022,49.5,159.2,65.7,25.5,813,550,496,440,14.367,F,right,1
13023,51,157.9,70.5,24,845,549,476,433,14.591,F,right,1
13024,80.6,185.1,79.5,29,889,645,601,532,17.926,M,right,4
13025,51.8,164.6,65.9,23.6,855,555,514,434,16.156,M,right,1
13026,91.3,177.7,93.1,27.9,926,586,568,479,18.276,M,right,4
13027,40.6,148.2,65,23.7,764,484,475,396,11.964,M,right,2
13028,29.4,137.8,57.2,22.7,699,453,452,394,11.068,M,right,1
13029,86.1,172.8,89.5,24.9,905,592,550,471,16.221,M,right,3
13030,70.1,178.9,76.1,26.4,977,562,510,472,18.602,M,right,5
13031,81.3,168.7,96.2,27,894,571,539,479,18.424,M,right,10
13032,84.5,178.6,87.1,27.6,937,600,550,471,18.219,M,right,1
13033,62,171.8,71.4,26.2,909,565,555,472,16.865,M,left,3
13034,60,169.8,71.1,24.8,909,568,522,456,17.558,M,right,2
13035,68,179.9,74.1,27.5,935,581,563,468,17.501,M,right,1
13036,65.2,180.2,72.8,27.7,961,573,554,489,16.227,M,right,2
13037,72.9,177.5,75.4,27.1,961,566,543,468,17.309,M,right,2
13038,81,182,81.4,27,987,587,559,470,16.441,M,right,2
13039,67.6,173.8,74.3,27.5,913,559,558,460,16.219,M,right,1
13040,55.7,171.1,68,26.8,819,587,561,494,19.194,M,left,9
13041,67.1,170.1,71.9,27.2,864,570,557,489,18.189,M,right,4
13042,76,181.8,77.1,27.7,866,655,601,511,18.208,M,right,3
13043,92.5,186.8,96.5,28.1,954,630,603,508,17.397,M,right,1
13044,58.8,163.7,68.9,23.4,870,535,490,426,16.654,M,right,3
13045,66.7,170.4,71.8,26.8,868,609,536,478,16.556,M,right,8
13046,66.2,165,74.9,24.6,875,532,495,443,16.605,M,both,2
13047,69.9,174.8,79.3,28.3,854,609,587,492,17.926,M,right,6
13048,74.7,177,75.5,28.2,903,606,561,491,16.915,M,right,1
13049,85.7,179.1,82.8,28.2,880,637,589,494,16.778,M,right,4
13050,72.5,180.7,73.9,28,905,630,586,510,18.295,M,right,2
13051,64.2,176.8,75.3,27.3,878,602,572,492,16.761,M,right,3
13052,71.2,175.1,77.4,28.1,870,614,552,497,17.972,M,both,1
13053,58.8,174.8,69.3,26.7,883,595,543,488,18.273,M,right,1
13054,59.7,170.5,69.2,25.6,897,544,559,462,17.397,M,right,1
13055,90.7,179.4,94.4,28.2,930,622,557,528,18.778,M,right,1
13056,79.6,178.5,91.5,28.1,935,602,534,494,18.879,M,right,2
13057,98.2,181.4,91.1,30.8,900,653,603,524,17.882,M,right,1
13058,68.1,175,74.1,27.4,891,593,564,478,16.632,M,right,3
13059,32.6,132.7,62.2,21.7,709,436,423,361,9.399,M,left,2
13060,33.5,139,61.7,22.2,718,464,444,376,11.246,M,right,1
13061,27.7,134.5,52.4,22.1,694,445,428,367,11.172,M,right,6
13062,27,131.5,55.4,20.8,696,431,409,369,7.336,M,right,2
13063,30.7,133.6,57.7,21.6,681,446,421,358,8.852,M,right,2
13064,36,146.8,60.5,22.3,777,478,458,391,11.873,M,right,2
13065,30.2,136.9,56.4,21.5,728,448,421,348,10.86,M,right,7
13066,35,141.2,58.9,22.8,745,466,457,386,12.287,M,right,1
13067,36.1,140.8,62.6,23.9,698,458,460,407,9.441,M,left,5
13068,29.5,135.8,55.6,22,725,431,420,362,8.427,M,right,1
13069,73.4,182,81.9,27.5,935,617,580,514,18.098,M,right,6
13070,31,140.8,71.6,21.8,752,461,433,370,9.43,M,right,2
13071,32,138.4,60.6,21.5,723,471,450,366,9.241,M,right,1
13072,31,139.4,56.7,22.3,737,446,437,375,9.671,M,right,2
13073,48.3,136.8,85.7,21.5,734,473,431,363,9.408,M,right,2
13074,27.3,136.3,54.9,21.3,684,459,439,371,8.961,M,right,2
13075,32.9,139.1,57,23.5,715,476,458,390,10.221,M,right,4
14001,63.8,172.5,76.4,24.4,890,582,527,454,17.098,M,left,5
14002,60.1,176,66.8,25.9,931,570,520,455,15.863,M,right,3
14003,56.7,176.4,73.1,26.8,890,560,580,473,15.709,M,left,2
14004,66.6,166.7,81,26.2,911,551,498,456,17.413,M,right,4
14005,74.6,179.7,79.1,27.2,903,612,582,504,17.287,M,right,4
14006,54.4,162.1,71.5,24.9,851,545,500,433,15.673,M,right,1
14007,94.8,188.3,96.5,27.2,943,663,596,496,15.923,M,right,3
14008,68,174.4,77.9,26,878,586,547,478,18.254,M,right,2
14009,56,168.5,69.2,25.2,845,576,512,448,16.939,M,right,1
14010,50.8,163.5,68.7,24.5,811,574,514,456,14.723,M,right,2
14011,66.1,180.1,73.3,27.7,951,592,552,487,16.106,M,right,1
14012,61.2,176.9,70,27.2,954,578,525,476,18.049,M,right,1
14013,75.3,173.9,81,25.9,926,590,532,446,17.671,M,left,9
14014,67.4,174.4,75.2,26.7,908,569,544,477,16.652,M,right,3
14015,69.9,175.9,73.1,26.8,904,609,540,497,16.397,M,right,3
14016,46,163.1,66.3,25.7,839,544,512,442,14.706,M,right,1
14017,42.7,162.2,63.1,23.8,862,544,493,424,14.813,F,right,1
14018,51.1,160.6,69.4,23.3,885,544,482,406,15.926,F,right,4
14019,52.9,156.2,74.4,22.3,851,535,468,399,15.227,F,right,6
14020,50.3,165.9,66.2,24.7,840,571,514,452,17.476,F,both,8
14021,58.7,167.8,72.9,24.4,886,572,518,443,14.906,F,right,2
14022,60.2,165.7,71.1,24.1,898,575,490,439,17.399,F,right,2
14023,41.4,150.3,69,21.6,827,499,443,381,15.55,F,right,2
14024,54.6,163.4,75.6,21.2,840,584,497,406,16.268,F,right,8
14025,57.7,165.6,73.8,25,872,581,498,434,14.964,F,right,2
14026,36.4,149.1,64.7,21.5,748,509,446,391,17.476,F,right,3
14027,52,159.4,66.1,22,876,536,469,410,15.69,F,right,1
14028,59.1,150.4,83,21.4,803,532,479,397,14.876,F,right,2
14029,50.6,159.2,65.7,22.6,848,541,493,399,16.038,F,right,2
14030,47.7,152.7,69.2,22.4,794,533,472,403,15.358,F,right,4
14031,49.2,168,64.6,24.6,868,578,493,445,14.778,F,right,3
14032,54.3,159.9,72.3,25.4,853,552,492,428,15.06,F,right,2
14033,53.3,161.5,,22.8,863,548,499,426,16.369,F,right,2
14034,42.1,153.8,68.4,22.1,812,521,475,410,15.671,F,right,3
14035,51.9,160.1,,23.4,893,529,469,407,16.6,F,both,2
14036,60,172.5,76.4,24.4,873,606,530,450,17.117,F,right,1
14037,58.3,157.9,,24.4,834,537,474,421,18.915,F,right,5
14038,57.7,156.3,,23,874,533,462,394,16.564,F,right,4
14039,57,160.5,77.5,22.1,847,545,468,417,16.52,F,right,3
14040,56.5,169.7,74.5,24.9,876,589,505,459,16.052,F,right,1
14041,54.7,157.7,82.5,23.3,817,552,486,410,15.367,F,right,3
14042,39.9,160.4,66,22.5,826,547,493,424,15.032,F,right,2
14043,64.5,171.3,76.8,24.1,890,592,541,452,15.049,F,right,1
14044,45.9,171.7,62.8,23.3,886,580,509,433,15.073,F,right,1
14045,53.7,163.8,73.7,22.9,894,555,484,406,15.345,F,right,4
14046,49.8,159.1,66.6,21.8,839,541,501,421,15.66,F,right,2
14047,58.8,165.6,,24.4,,,,,14.876,F,right,1
14048,50.4,155,70.5,22.8,845,519,477,406,16.802,F,left,2
14049,57.7,166.9,,25.5,879,571,537,445,15.761,F,left,2
14050,48,161.2,70.8,22.3,845,542,483,409,16.035,F,left,4
14051,53.7,165.1,67.8,23.8,876,564,492,436,16.268,F,right,1
14052,67.8,165.3,86.1,24.5,892,562,501,423,16.328,F,right,2
14053,54.8,160.7,68.5,25,879,544,471,433,14.416,M,right,2
14054,54,159.6,67.5,24.6,839,543,523,436,13.772,M,right,3
14055,38.9,153.5,60.5,23.6,781,501,473,407,13.123,M,right,3
14056,37.7,149.7,61.2,23.9,764,517,489,423,11.994,M,right,1
14057,41.6,152.6,67.6,25.1,772,516,,425,12.284,M,right,4
14058,40.5,150.9,61.9,25.1,777,518,493,409,13.032,M,right,3
14059,38.1,145.6,67.5,23.5,731,501,473,398,13.123,M,right,1
14060,40.1,147.4,62.3,22.8,771,484,477,397,13.189,M,right,1
14061,37.2,151.6,61.8,23,774,497,487,401,12.26,M,right,3
14062,37.5,144.4,62.3,22.3,757,475,458,365,13.243,M,right,1
14063,68.4,175.5,77.5,25.6,916,574,564,467,14.095,M,right,3
14064,35.4,142.3,61.5,23.2,762,466,471,386,12.216,M,right,2
14065,49,163.6,71.1,26.5,813,563,535,457,13.095,M,right,3
14066,40.5,151.6,64.6,23.5,759,489,489,422,14.164,M,right,1
14067,40.5,154.5,65.5,24.7,816,511,475,428,12.632,M,right,1
14068,35.5,145.6,60.8,23.7,746,483,476,402,14.479,M,right,4
14069,35.5,147,58.8,23,764,466,450,389,12.504,M,left,7
14070,35.9,146.3,61.1,22.9,739,484,469,390,12.399,M,right,4
14071,51.8,167.4,68.1,26,832,568,547,450,14.665,M,right,1
14072,62.3,170.8,72.9,25.9,897,562,528,452,13.682,M,right,4
14073,30.9,142.1,58.1,22.7,741,471,443,372,12.276,M,right,2
14074,33.4,148.7,58.8,22.8,762,490,470,394,11.81,M,right,1
14075,46,155.3,67.3,26,796,520,502,428,12.756,M,right,1
14076,74.4,178.9,81.2,27.2,926,597,598,483,13.498,M,right,3
15001,34.1,140,57.5,23,711,477,460,396,10.293,F,right,1
15002,28,138.5,51.1,21.3,711,465,449,388,12.109,F,right,10
15003,42.9,152.7,65.8,24.8,751,531,503,422,12.126,F,right,5
15004,33.2,141.8,61,22.8,694,502,474,397,11.632,F,right,3
15005,34.1,136,58.9,21.4,721,450,424,354,10.726,F,right,2
15006,24,131.4,50.1,21.2,672,457,440,372,9.863,F,right,5
15007,37.2,146,66.8,23.6,751,494,471,376,9.378,F,right,3
15008,30.3,139.5,58.5,21.7,744,447,440,360,11.791,F,right,2
15009,30.8,144.5,59.8,23.1,716,501,459,396,10.208,F,right,4
15010,69,138.8,88.6,21.1,738,507,439,375,9.92,F,right,4
15011,49.3,148.2,79.6,24,720,544,477,404,10.747,F,left,7
15012,34.8,142.8,63,21.4,751,469,471,389,9.854,F,right,1
15013,35.7,141,66.8,20.8,738,478,446,362,10.43,F,right,6
15014,60.2,141.7,92.3,22.2,723,525,456,397,11.101,F,right,5
15015,77.3,167.6,94.3,24.4,913,577,515,436,18.189,F,right,3
15016,52.6,167.5,60.1,24.1,901,561,509,424,19.246,F,right,1
15017,42.4,164.2,67.7,23.9,869,534,499,421,18.408,F,right,7
15018,51.7,159.6,70.1,22.2,842,553,497,431,17.556,F,right,5
15019,24.8,127.9,54,20.4,654,425,408,367,6.756,F,right,1
15020,15.4,108.5,46.8,16.2,591,331,310,289,7.199,F,right,6
15021,68.2,173.9,73.4,27.6,890,592,545,493,16.276,F,right,2
15022,34.5,146.9,56.8,23.4,747,501,474,409,10.819,F,right,6
15023,37.1,151.2,62.2,26.1,745,511,497,452,12.81,F,right,3
15024,23.4,121.5,53,17.2,664,399,354,308,7.621,F,right,1
15025,24,119.5,50.7,17.5,640,379,364,297,7.117,F,right,2
15026,46.6,157.2,61.1,21.7,853,530,470,388,15.778,F,right,1
15027,57.8,162.3,82.1,23.4,843,573,488,419,17.49,F,right,1
15028,58,159.9,76.1,24,868,544,495,428,16.169,F,right,3
15029,52,161.7,71.8,22.2,903,526,472,402,17.608,F,right,5
15030,49.2,157.5,67.3,22.7,866,537,477,403,16.572,F,right,2
15031,46.3,153.5,67.9,22.4,825,516,471,390,16.268,F,right,1
15032,41.8,135.9,77.7,22.6,685,497,439,394,8.624,F,right,8
15034,44.8,154.7,60.3,21.4,838,519,468,402,,M,,
15035,37.8,138.3,65.6,21.7,720,480,441,362,8.583,F,right,4
15036,35.7,132,70.3,19.7,667,461,424,356,9.558,F,right,3
15037,28.5,133.3,60.2,20.4,706,427,417,342,10.706,F,left,2
15038,58.8,163.8,73.6,25.6,807,575,538,454,15.802,F,right,1
15039,53.5,168.1,71.1,24,887,543,549,462,15.852,F,right,5
15040,51.7,164.4,68.9,22.7,830,560,505,417,14.558,F,right,2
15041,55.3,160.8,74.2,24.5,832,551,509,438,12.55,F,right,3
15042,49,154.2,68.4,21.3,829,520,482,399,14.945,F,right,4
15043,32,144.9,57.8,23.1,730,484,470,403,12.498,F,right,2
15044,66.1,161.1,82.9,23.3,846,559,499,426,13.468,F,right,2
15045,53,156.4,73.4,26.1,768,562,522,439,14.326,F,right,6
15046,31.8,141.3,56.7,21.8,731,459,455,377,12.745,M,right,2
15047,28.7,138.2,55.1,21.5,723,440,441,375,11.539,M,right,1
15048,34.2,140.1,59.1,23.1,724,475,455,378,12.397,M,right,2
15049,39.5,150,65,26.7,714,519,501,443,16.331,M,right,
15051,46.9,163.4,68.9,23.7,838,530,519,430,13.065,F,right,4
15052,27.3,133.3,52.4,19.8,713,436,418,348,12.473,F,right,3
15053,55.1,159.5,72.2,25,760,602,518,436,14.115,F,right,5
15054,69.7,159.5,86.8,22.4,870,568,510,416,12.953,F,right,2
15055,53.2,162.3,,25.4,815,581,533,434,13.084,F,right,9
15056,45.5,153.3,62.7,23.7,814,532,485,429,13.473,F,right,7
15057,63.1,159.3,81.6,22.7,842,562,490,425,14.249,F,right,2
15058,19.6,113.6,49.5,18.3,634,361,350,308,6.104,F,right,2
15059,18.6,114,50,16.9,647,351,345,293,6.306,F,right,4
15060,21.5,120.6,50.8,19.1,647,391,366,306,6.608,F,right,1
15061,25.2,122.1,55.6,18.9,689,388,371,308,6.339,F,right,4
15062,21.6,116.8,52.5,18.6,655,378,363,310,5.978,F,right,1
15063,25,126.1,54,21.1,655,424,407,343,8.071,F,left,1
15064,23.5,123.4,52.9,18.1,678,407,379,323,8.484,F,right,1
15065,22.6,125.5,52.5,19.2,700,401,378,306,7.89,F,right,1
15066,26.7,122,58,19.4,675,405,376,328,8.238,F,right,3
15067,29.5,129.5,61.2,19.4,695,436,407,330,8.205,F,right,1
15068,25.4,129.7,,19,677,443,407,338,8.465,F,right,1
15069,30.2,132.1,60.8,20.5,729,430,412,347,9.438,F,right,2
15070,22.8,117.6,,18.4,622,386,373,303,7.046,F,right,2
15071,20.9,117.6,51.7,18.7,644,372,369,317,7.389,F,right,1
15072,23.3,118.5,55.2,18.3,644,385,366,310,7.147,F,right,1
15073,22.9,126.7,55.5,19.2,684,414,386,330,8.934,F,right,1
15074,22.2,117.8,50.2,18.1,653,397,364,316,8.964,F,right,2
15075,35,138.6,61.2,22.6,715,471,446,365,9.783,F,right,4
16001,42.8,155.4,62.7,24.2,764,531,506,416,13.238,M,left,2
16002,54,162.5,67.2,25.6,833,543,522,441,14.61,M,right,7
16003,43.9,160.4,63,24.3,817,527,502,424,13.183,M,right,1
16004,42.7,151.6,65.9,23.4,794,508,476,397,13.161,M,right,1
16005,57.1,169.3,70.7,26,864,560,570,461,12.583,M,right,1
16006,71.5,169.5,81.8,26,906,575,521,453,14.515,M,right,4
16007,51.7,169.1,67.3,26.8,847,567,519,448,13.504,M,right,3
16008,58.4,174.6,70.2,27.8,919,576,545,479,16.035,M,right,1
16009,35.3,143.6,64.5,22.7,760,474,444,371,12.939,M,right,2
16010,44.7,144.4,67.5,22.5,778,469,,386,11.572,M,right,2
16011,36.6,145.5,61.5,22.1,743,510,463,386,11.69,M,right,1
16012,47,143.2,77.2,23.5,745,482,484,404,12.61,M,both,2
16013,52.1,158.5,72.7,26.3,798,545,511,443,13.372,M,right,4
16014,60.1,156.4,86.3,24.7,814,528,506,435,14.126,M,right,2
16015,47.6,154.5,65.6,23.8,784,531,491,432,13.487,M,right,2
16016,55.8,159.1,75.8,25.3,847,548,500,411,12.986,M,right,2
16017,34.6,144.7,60,22.2,760,478,448,393,13.282,M,right,3
16018,42.1,153.3,65.1,23.8,761,523,481,427,14,M,right,3
16019,38,148.5,60.3,22.7,771,499,464,375,14.778,M,left,2
16020,51.9,169.1,69.3,24.1,903,549,498,441,14.312,F,right,3
16021,42.4,151.8,66.5,21.6,803,524,460,400,13.747,F,right,2
16022,60,167.1,80.7,24.6,878,573,532,455,13.679,F,right,1
16023,56.7,159.1,72.5,23.9,870,544,484,413,13.057,F,right,1
16024,40.5,163.5,61.1,23.8,806,555,509,431,13.353,F,right,1
16025,55.2,168,69.6,25.3,885,565,516,451,15.312,F,right,4
16026,48.3,159.8,64.4,23.3,844,528,486,402,14.808,F,left,2
16027,48.7,155.4,68.9,22.4,821,542,467,388,13.786,F,right,3
16028,39.8,145.9,65.2,21.8,775,494,440,377,13.712,F,right,2
16029,43,160.1,64.8,22.1,820,559,485,430,14.134,F,right,2
16030,66.6,167.5,74.8,23.3,898,576,509,430,15.315,F,right,3
16031,59.5,178.6,72.2,26,936,605,546,459,14.928,F,right,2
16032,55.8,158.9,72.5,23.2,834,562,493,422,15.421,F,right,1
16033,44.8,159.8,66.4,22.5,861,544,462,422,15.347,F,right,1
16034,48.9,159.7,69.3,24,862,516,484,419,13.6,F,both,3
16035,41.5,157.3,64,23.8,833,518,486,415,13.654,F,right,3
16036,41.4,157.8,61.7,22.4,845,523,470,406,12.676,F,right,2
16037,50,160.2,65.8,24.1,819,549,493,429,12.865,F,right,4
16038,55.5,157.9,73.5,23.8,826,541,495,424,14.868,F,right,2
16039,39.3,150.8,64.9,22.2,742,523,468,404,13.084,F,left,1
16040,44.7,153.7,66.8,22.7,804,519,453,413,14.432,F,right,2
16041,58.5,157.9,74.7,23.2,789,576,499,418,14.216,F,right,1
16042,59.6,165.5,71.6,24.1,869,574,491,434,14.142,F,left,1
16043,67,160.2,78.4,24.8,773,588,512,431,13.115,F,right,1
16044,54.3,168.2,68.4,24.6,878,563,506,441,14.824,F,right,5
16045,39.2,151,61.8,24.2,763,534,465,405,13.805,F,right,1
16046,56.4,158.1,74.6,23.9,822,549,480,408,14.227,F,right,3
16047,48.2,169.6,66,24.4,835,586,510,447,14.706,F,right,2
16048,51.9,169.1,68,22.5,855,597,505,455,14.75,F,right,4
16049,43.1,151.5,64.3,22.8,809,521,444,389,14.86,F,right,5
16050,50.3,157.6,68,24.1,821,545,490,407,13.106,F,right,3
16051,44.9,160.8,65.6,23.4,833,541,467,420,13.413,F,both,1
16052,53,160.4,73.3,23.6,806,560,508,445,13.23,F,right,2
16053,37.4,145.6,57.6,23.5,708,512,449,429,12.66,F,left,3
16054,37.8,153,63.2,22.6,795,500,460,405,13,F,right,2
16055,36.6,142,,22.5,722,499,444,386,12.646,F,right,5
16056,47.2,161.7,66.2,23.8,848,549,462,432,12.895,F,right,1
16057,45.6,155.4,67.7,24.7,811,536,474,418,14.402,F,right,1
16058,38.2,140.6,64.8,21.6,711,502,432,392,12.989,F,right,3
16059,47,166.2,64.6,23.6,835,569,511,432,15.287,F,right,3
16060,69.4,156.6,84.6,23.2,817,556,475,412,15.205,F,right,2
16061,63.5,167.3,81.4,26.3,837,601,529,466,15.328,M,right,1
16062,50.5,169.5,68.2,24.5,849,566,518,449,16.906,M,left,1
16063,61,162.9,71,26.9,811,572,503,476,14.635,M,both,3
16064,54.3,168,70.2,26.5,825,561,587,472,15.071,M,right,3
16065,38.5,150.2,62,22.6,774,515,459,395,13.019,M,right,1
16067,63.8,168.6,71.5,28.1,796,604,568,491,14.109,M,right,1
16068,43.1,156.9,59.9,23.9,791,519,499,423,14.002,M,both,2
16069,54.2,165.3,69.5,25.8,833,558,515,481,14.29,M,right,4
16070,50.6,151.5,77.3,23.2,785,524,476,413,13.75,M,right,2
16071,69.2,173.2,79.2,27.9,909,568,524,470,14.002,M,right,1
16072,48.1,155.8,66.9,24.4,834,518,466,417,13.509,M,both,2
16073,47.8,149.3,66.4,23.7,773,501,465,418,15.487,M,right,4
16074,58.4,171.1,66.5,27.4,836,603,554,489,14.186,M,right,1
16075,57.9,175.6,69.1,28.6,902,581,539,,14.345,M,right,1
16076,37.7,154.4,60.3,23.9,751,531,477,424,13.736,M,right,2
16077,43.1,154.9,57.8,22.8,814,507,464,426,15.301,M,right,2
16078,51,168.9,65.3,24.9,848,583,549,461,14.863,M,both,1
16079,49,164.7,72.1,26.3,808,568,518,469,13.364,M,left,3
17001,27.4,126.5,55.7,19.6,681,408,393,326,10.063,F,right,2
17002,32.2,137,59.3,21.7,722,460,426,372,9.956,F,right,2
17003,28.5,129.9,53.4,19.4,690,429,406,339,10.052,F,right,1
17004,54.8,156.3,70.2,25.6,823,553,493,420,10.904,F,right,1
17005,32.2,132.7,61.2,21,724,447,416,340,9.994,F,right,3
17006,40.7,148.8,57.5,23.2,749,511,493,421,10.643,F,right,1
17007,39.5,142,72.6,22.2,722,482,441,363,9.991,F,right,6
17008,42,139.9,77.4,21.1,736,482,439,363,10.021,F,right,3
17009,22.8,125.5,51.5,19.2,706,394,388,308,7.764,F,right,1
17010,24.6,111.5,56,17.9,643,371,347,288,5.731,F,right,3
17011,15.1,104.7,46,15.4,576,321,311,264,6.101,F,right,2
17012,21.8,117,55.5,17.7,630,394,342,301,6.567,F,right,1
17013,46.9,150.4,74.6,22.8,782,505,473,404,9.619,F,right,3
17014,36.8,148,60.6,24.5,755,485,471,414,11.457,F,right,3
17015,40.9,145.3,69,22.1,768,495,456,367,10.813,F,right,1
17016,39.1,141.5,68.2,23.5,710,499,464,391,11.09,F,right,2
17017,32.3,143.7,60.6,21.7,750,481,449,372,12.295,F,left,
17018,26.6,122.3,56.5,18.7,659,421,383,325,8.386,F,right,2
17019,30.8,132,56.6,21.3,703,438,415,355,9.663,F,right,2
17020,26.3,131.7,55.3,20.5,695,431,397,349,9.38,F,right,1
17021,43.4,148.5,66.2,22.2,768,491,493,404,11.673,M,right,2
17022,57.9,145.8,88.6,22.5,769,495,472,386,10.863,M,right,1
17023,36.2,141.9,59.4,22.7,765,469,446,377,11.191,M,right,1
17024,37.7,141,61.1,22.3,745,484,459,372,11.246,M,right,1
17025,35.2,144.5,63,22.8,746,479,460,395,11.641,M,right,1
17026,37.5,140,61.5,21.5,744,480,452,376,10.805,M,right,3
17027,21.4,117.7,51.3,17.8,633,374,375,309,6.671,M,right,4
17028,22.6,117,53.9,19,643,379,362,320,6.268,M,right,1
17029,31.5,125.4,64.3,19.3,676,412,395,333,8.663,M,right,1
17030,24.4,126.5,54.6,20.4,659,412,409,345,8.572,M,left,3
17031,23.8,123,56.2,18.5,664,405,378,322,7.98,M,right,2
17032,27.3,128.5,54.8,20.8,709,408,399,335,7.98,M,both,2
17033,38.5,134.2,64.4,20,731,455,422,335,7.89,M,right,1
17034,21.2,116.4,49.5,19.4,665,363,363,294,6.309,M,right,2
17035,22.9,119.3,54.7,18.9,657,370,379,315,6.501,M,right,1
17036,30.5,137.4,58.1,21.2,706,468,446,352,9.498,M,right,3
17037,28,129.7,57.6,20.6,701,428,416,347,9.476,M,right,3
17038,35.6,143.3,59,23.1,763,460,455,395,9.427,M,right,2
17039,34.9,142.5,61.2,22.7,753,465,432,375,9.986,M,left,2
17040,32.1,138.7,56.9,21.7,737,451,442,364,10.602,M,right,1
17041,25.4,132.9,54,19.7,710,430,399,339,10.312,M,right,2
17042,34.1,144.4,60.1,22.6,753,481,460,381,10.627,M,right,1
17043,32.3,138.1,56.7,21.5,739,441,436,365,10.402,M,right,3
17044,19.8,119.5,48.9,18.4,652,381,362,311,6.739,M,right,1
17045,20.4,113.7,52.6,17.1,631,360,343,311,5.972,M,right,2
17046,27.9,125.4,57.7,19.7,699,413,395,334,7.945,M,right,1
17047,35.1,132.2,66.8,20.3,715,442,419,343,8.534,M,right,2
17048,25.7,132.7,53.6,19.9,737,413,412,338,8.227,M,right,1
17049,29.3,131.6,56.9,20.1,684,427,428,343,8.654,M,right,2
17050,17.4,108.9,49.2,16.6,600,335,341,282,6.709,M,right,2
17051,24.9,127.3,55.6,20,704,389,381,335,7.158,M,right,5
17052,40.5,125,78.9,20.4,717,423,403,331,7.254,M,right,1
17053,30.4,127.6,62.2,19.7,678,425,406,342,9.254,M,right,2
17054,27.1,133.9,55.9,21,690,432,423,359,9.101,M,right,1
17055,40.7,145.2,67.5,22.6,763,482,455,394,10.032,M,right,1
17056,27.8,136.6,53.9,21,695,447,455,366,10.032,M,right,1
17057,30.1,133.9,55.8,19.6,724,431,416,344,10.38,M,right,3
17058,26.3,122.8,57.5,19.5,681,371,403,333,7.26,M,both,2
17059,23.6,124.3,56.6,18.5,647,399,409,324,7.109,M,right,1
17060,22.2,121.2,50.9,18.4,662,376,386,322,7.109,M,right,1
17061,21.2,117.2,51.7,17.8,650,385,353,318,7.408,M,right,2
17062,37,138.4,62.4,22.4,723,463,455,389,9.339,M,right,2
17063,20,114.7,52.2,17.7,639,355,344,302,5.893,M,right,1
17064,18.4,115,48.4,17.5,643,349,350,292,5.917,M,right,1
17065,21.9,116.9,53.4,18.4,653,363,367,301,6.104,M,right,1
17066,27.7,128,52.9,20.5,668,419,415,363,9.402,M,right,1
17067,26.6,128.4,54.4,18.9,692,417,397,336,8.89,M,right,2
17068,33,142.2,59.6,22,740,443,453,351,9.109,M,right,1
17069,27.8,129.4,57,20.1,705,411,407,342,8.797,M,right,3
17070,28.8,134.5,55.2,20.6,711,429,427,360,9.224,M,right,2
17072,36,133.2,68.3,19.9,735,448,407,352,7.068,F,right,1
17073,20.9,118.3,51.5,18,650,378,363,303,7.534,F,right,1
17074,21.3,117.6,55.5,18.2,644,373,362,297,6.767,F,right,2
17075,35,128.5,65.7,20.9,686,437,409,356,7.657,F,right,1
17076,23,119.2,55.9,19.2,655,381,371,305,7.29,F,right,4
17077,25.6,121.6,57.1,19.7,677,397,365,319,7.331,F,right,1
17078,23.4,128.9,48.7,20.5,685,412,402,343,8.86,F,right,2
17079,26.7,138.4,65.9,20.9,722,475,446,365,9.484,F,right,4
20001,25.5,127.9,52.7,20.8,658,427,418,356,7.216,M,right,1
20002,18.8,119.2,50.2,17.6,651,361,367,318,6.49,M,left,2
20003,30.4,135.2,57.2,21.8,686,441,427,379,8.178,M,right,
20004,25,127.5,55.2,19,677,416,394,344,7.939,M,right,1
20005,37,143.4,67.5,22.7,739,481,468,395,10.805,M,right,1
20006,40.6,148,63.3,23.4,731,510,489,409,12.156,M,right,2
20007,40.1,149.6,65.3,23.9,736,523,494,429,13.172,M,right,2
20008,22,118.5,54.3,17.8,632,381,371,323,6.391,M,right,1
20009,19.4,118.6,50.6,17.7,637,366,380,310,6.621,M,right,1
20010,24.6,125,52.5,20.1,657,414,396,351,6.657,M,right,3
20011,55.7,170.2,68.3,25.9,930,539,519,450,15.238,M,right,1
20012,60,170.6,75.6,26.5,878,572,548,470,15.254,M,right,2
20013,53.2,171.6,66,24.5,871,589,539,445,16.78,M,right,5
20014,55.6,167.3,70.8,26.2,879,521,522,457,15.169,M,right,4
20015,73.5,169,88.1,27.8,870,583,563,481,14.558,M,right,2
20016,57.3,172.4,69.2,25.4,896,573,557,481,15.334,M,right,1
20017,54.8,174.6,65.1,27.5,881,582,576,487,14.95,M,right,5
20018,61,183.6,70.8,26.8,953,583,579,498,18.065,M,left,2
20019,25,133.8,53.5,20.6,691,439,421,365,10.194,M,right,1
20020,35.2,140.6,65.3,20.5,736,463,460,364,10.449,M,right,1
20021,34.1,133.1,68.9,21.8,666,462,450,361,10.413,M,right,1
20022,68.7,175.4,78,25.7,945,553,553,475,17.698,M,right,4
20023,34.3,134.4,59.5,21.8,691,468,457,370,8.399,M,right,1
20024,32.8,139.3,55.9,22.9,713,465,456,389,8.265,M,right,3
20025,28.3,139.5,55.4,21.4,728,442,416,364,8.849,M,left,1
20026,22,120.9,50.1,19.1,614,396,392,338,8.753,M,right,6
20027,22.3,125.8,53.2,19.8,649,405,392,346,9.326,M,right,2
20028,39.2,147.3,63.5,22.2,769,489,470,390,11.268,M,right,2
